Nombre,Dominio,Ruta,Utilidad,Notas
1P_JAR,Google.com,/
APOSID,Google.com,/
CONSENT,Google.com,/
_Secure-3PAPISID,Google.com,/
_Secure-3PSID,Google.com,/
_Secure-3PDISCC,Google.com./
S,docs.Google.com:google.com,/
PushSubscriberStatus,programming-true.github.io,/
_ga,docs.google.com:programming-true.github.io,/
_gat,docs.google.com:programming-true.github.io,/
_gid,docs.google.com:programming-true.github.io,/
peclosed,programming-true.github.io,/
